Region,Adult obesity,Food environment index
South,0.359,5.94
South,0.326,5.5
South,0.336,7.695
South,0.325,7.5
South,0.317,5.182
South,0.331,4.9
South,0.286,6.799
South,0.315,6.4
South,0.32,7.233
South,0.326,6.8
South,0.314,6.655
South,0.306,6.4
South,0.31,7.711
South,0.302,7.4
South,0.315,6.777
South,0.322,6.5
South,0.268,6.636
South,0.279,6.3
South,0.305,4.119
South,0.307,3.7
South,0.328,7.463
South,0.346,7.0
South,0.279,8.499
South,0.262,8.3
South,0.267,4.59
South,0.265,4.2
South,0.336,5.778
South,0.327,5.1
South,0.361,4.91
South,0.375,4.6
South,0.327,6.635
South,0.323,6.6
South,0.234,7.325
South,0.223,7.1
South,0.305,6.092
South,0.322,5.9
South,0.326,6.635
South,0.321,6.4
South,0.264,8.788
South,0.262,8.4
South,0.317,6.601
South,0.293,6.4
South,0.296,7.771
South,0.28,7.5
South,0.307,7.757
South,0.31,7.5
South,0.338,4.259
South,0.331,3.9
South,0.309,8.614
South,0.31,8.2
South,0.275,8.818
South,0.283,8.5
South,0.255,6.004
South,0.264,5.8
South,0.317,5.743
South,0.331,5.5
South,0.358,7.124
South,0.323,6.9
South,0.317,4.572
South,0.334,4.4
South,0.381,3.561
South,0.368,3.2
South,0.346,6.68
South,0.333,6.4
South,0.305,6.032
South,0.298,5.8
South,0.283,7.502
South,0.29,7.4
South,0.31,8.224
South,0.33,8.0
South,0.355,6.084
South,0.338,6.1
South,0.3,5.358
South,0.318,4.9
South,0.348,7.364
South,0.354,6.8
South,0.29,8.415
South,0.279,8.0
South,0.25,8.273
South,0.271,8.0
South,0.274,6.754
South,0.28,6.4
South,0.219,9.119
South,0.249,9.0
South,0.265,7.736
South,0.261,7.3
South,0.229,6.378
South,0.218,6.2
South,0.291,7.907
South,0.289,7.6
South,0.286,4.659
South,0.301,4.2
South,0.282,6.71
South,0.278,6.4
South,0.285,7.426
South,0.285,7.2
South,0.323,6.787
South,0.327,6.4
South,0.319,7.087
South,0.299,6.9
South,0.253,7.565
South,0.271,7.3
South,0.276,7.236
South,0.289,7.1
South,0.29,7.613
South,0.261,7.4
South,0.387,3.331
South,0.37,3.1
South,0.316,7.894
South,0.291,7.4
South,0.282,9.117
South,0.287,8.7
South,0.284,7.503
South,0.301,7.0
South,0.289,7.548
South,0.293,7.2
South,0.285,7.338
South,0.303,7.0
South,0.299,7.166
South,0.324,6.7
South,0.31,7.067
South,0.309,6.7
South,0.264,8.431
